id,name,url,type_id
1,AmericanNews,AmericanNews.com,1
2,BigAmericanNews,BigAmericanNews.com,1
3,capnews,twitter.com/capnews,1
4,ChristWire,ChristWire.org,1
5,CivicTribune,CivicTribune.com,1
6,ClickHole,ClickHole.com,1
7,CreamBMP,CreamBMP.com,1
8,DCGazette,DCGazette.com,1
9,DailyCurrant,DailyCurrant.com,1
10,DCClothesLine,DCClothesLine.com,1
11,DerfMagazine,DerfMagazine.com,1
12,DrudgeReport,DrudgeReport.com.co,1
13,DuhProgressive,DuhProgressive.com,1
14,EmpireNews,EmpireNews.com,1
15,EnduringVision,EnduringVision.com,1
16,cc indecision,cc.com/indecision,1
17,MSNBC,MSNBC.co,1
18,MSNBC,MSNBC.website,1
19,MediaMass,MediaMass.net,1
20,NationalReport,NationalReport.net,1
21,NewsBiscuit,NewsBiscuit.com,1
22,News-Hound,News-Hound.com,1
23,NewsMutiny,NewsMutiny.com,1
24,PoliticalEars,PoliticalEars.com,1
25,Private-eye,Private-eye.co.uk,1
26,RealNewsRightNow,RealNewsRightNow.com,1
27,RileNews,RileNews.com,1
28,Sprotspickle,Sprotspickle.com,1
29,TheNewsNerd,TheNewsNerd.com,1
30,TheUsPatriot,TheUsPatriot.com,1
31,WitScience,WitScience.org,1
32,AmplifyingGlass,AmplifyingGlass.com,2
33,Duffleblog,Duffleblog.com,2
34,EmpireSports,EmpireSports.co,2
35,GomerBlog,GomerBlog.com,2
36,Huzlers,Huzlers.com,2
37,iTagLive,iTagLive.com,2
38,Newslo,Newslo.com,2
39,NahaDaily,NahaDaily.com,2
40,RockCityTimes,RockCityTimes.com,2
41,TheLapine,TheLapine.ca,2
42,TheSpoof,TheSpoof.com,2
43,WorldNewsDailyReport,WorldNewsDailyReport.com,2
44,awazetribune,awazetribune.com,2
45,borowitzreport,borowitzreport.com,2
46,clickhole,clickhole.com,2
47,cracked,cracked.com,2
48,christwire,christwire.org,2
49,speld,speld.nl,2
50,der-postillon,der-postillon.com,2
51,duffelblog,duffelblog.com,2
52,elkoshary,elkoshary.com,2
53,elmundotoday,elmundotoday.com,2
54,fakingnews,fakingnews.com,2
55,fognews,fognews.ru,2
56,freewoodpost,freewoodpost.com,2
57,islamicanews,islamicanews.com,2
58,landoverbaptist,landoverbaptist.org,2
59,legorafi,legorafi.fr,2
60,lushforlife,lushforlife.com,2
61,nationalreport,nationalreport.net,2
62,newsbiscuit,newsbiscuit.com,2
63,private-eye,private-eye.co.uk,2
64,satirewire,satirewire.com,2
65,scrappleface,scrappleface.com,2
66,stneotscitizen,stneotscitizen.com,2
67,thebeaverton,thebeaverton.com,2
68,betootaadvocate,betootaadvocate.com,2
69,betootaadvocate,betootaadvocate.co.nz,2
70,chaser,chaser.com.au,2
71,dailycurrant,dailycurrant.com,2
72,thedailymash,thedailymash.co.uk,2
73,dailysquib,dailysquib.co.uk,2
74,thedailywtf,thedailywtf.com,2
75,theonion,theonion.com,2
76,theoxymoron,theoxymoron.co.uk,2
77,thepoke,thepoke.co.uk,2
78,theunrealtimes,theunrealtimes.com,2
79,thevalleyreport,thevalleyreport.com,2
80,topekasnews,topekasnews.com,2
81,waterfordwhispersnews,waterfordwhispersnews.com,2
82,weeklyworldnews,weeklyworldnews.com,2
83,zaytung,zaytung.com,2
84,21stCenturyWire,21stCenturyWire.com,3
85,ActivistPost,ActivistPost.com,3
86,BeforeItsNews,BeforeItsNews.com,3
87,BigPZone,BigPZone.com,3
88,Chronicle,Chronicle.su,3
89,CoastToCoastAM,CoastToCoastAM.com,3
90,ConsciousLifeNews,ConsciousLifeNews.com,3
91,ConservativeOutfitters,ConservativeOutfitters.com,3
92,WideAwakeAmerica,WideAwakeAmerica.com,3
93,CountdownToZeroTime,CountdownToZeroTime.com,3
94,CounterPsyOps,CounterPsyOps.com,3
95,DailyBuzzLive,DailyBuzzLive.com,3
96,Disclose,Disclose.tv,3
97,FPRNradio,FPRNradio.com,3
98,GeoEngineeringWatch,GeoEngineeringWatch.org,3
99,GlobalResearch,GlobalResearch.ca,3
100,GovtSlaves,GovtSlaves.info,3
101,GulagBound,GulagBound.com,3
102,JonesReport,JonesReport.com,3
103,HangTheBankers,HangTheBankers.com,3
104,HumansAreFree,HumansAreFree.com,3
105,Infowars,Infowars.com,3
106,IntelliHub,IntelliHub.com,3
107,LewRockwell,LewRockwell.com,3
108,LibertyTalk,LibertyTalk.fm,3
109,LibertyVideos,LibertyVideos.org,3
110,LibertyMovementRadio,LibertyMovementRadio.com,3
111,MegynKelly,MegynKelly.us,3
112,NaturalNews,NaturalNews.com,3
113,NewsWire-24,NewsWire-24.com,3
114,NoDisInfo,NoDisInfo.com,3
115,NowTheEndBegins,NowTheEndBegins.com,3
116,PakAlertPress,PakAlertPress.com,3
117,PoliticalBlindSpot,PoliticalBlindSpot.com,3
118,PrisonPlanet,PrisonPlanet.com,3
119,PrisonPlanet,PrisonPlanet.tv,3
120,RealFarmacy,RealFarmacy.com,3
121,RedFlagNews,RedFlagNews.com,3
122,TruthFrequencyRadio,TruthFrequencyRadio.com,3
123,TheDailySheeple,TheDailySheeple.com,3
124,TheRunDownLive,TheRunDownLive.com,3
125,UnconfirmedSources,UnconfirmedSources.com,3
126,VeteransToday,VeteransToday.com,3
127,WakingUpWisconsin,WakingUpWisconsin.com,3
128,WorldTruth,WorldTruth.tv,3
